Time,Value,Over Threshold
11:40:16.371032,0.002,False
11:40:16.387923,0.002,False
11:40:16.404416,0.002,False
11:40:16.421072,0.002,False
11:40:16.437823,0.002,False
11:40:16.454351,0.002,False
11:40:16.471037,0.002,False
11:40:16.487697,0.002,False
11:40:16.504427,0.002,False
11:40:16.521058,0.002,False
11:40:16.537757,0.002,False
11:40:16.554366,0.002,False
11:40:16.571041,0.002,False
11:40:16.587705,0.002,False
11:40:16.604377,0.002,False
11:40:16.621047,0.002,False
11:40:16.637835,0.002,False
11:40:16.654429,0.002,False
11:40:16.671048,0.002,False
11:40:16.687703,0.002,False
11:40:16.704369,0.002,False
11:40:16.721057,0.002,False
11:40:16.737705,0.002,False
11:40:16.754361,0.002,False
11:40:16.771008,0.002,False
11:40:16.787706,0.002,False
11:40:16.804419,0.002,False
11:40:16.832110,0.002,False
11:40:16.854932,0.002,False
11:40:16.871042,0.002,False
11:40:16.887752,0.002,False
11:40:16.904424,0.002,False
11:40:16.921079,0.002,False
11:40:16.937740,0.002,False
11:40:16.954418,0.002,False
11:40:16.971126,0.002,False
11:40:16.987782,0.002,False
11:40:17.004383,0.002,False
11:40:17.021103,0.002,False
11:40:17.037733,0.002,False
11:40:17.054403,0.002,False
11:40:17.071085,0.002,False
11:40:17.087745,0.002,False
11:40:17.104621,0.002,False
11:40:17.121122,0.002,False
11:40:17.137737,0.002,False
11:40:17.154472,0.002,False
11:40:17.171095,0.002,False
11:40:17.187747,0.002,False
11:40:17.204413,0.002,False
11:40:17.221078,0.002,False
11:40:17.237720,0.002,False
11:40:17.254847,0.002,False
11:40:17.271076,0.002,False
11:40:17.287748,0.002,False
11:40:17.304403,0.002,False
11:40:17.321153,0.002,False
11:40:17.337741,0.002,False
11:40:17.354446,0.002,False
11:40:17.371101,0.002,False
11:40:17.387728,0.002,False
11:40:17.404420,0.002,False
11:40:17.421097,0.002,False
11:40:17.437747,0.002,False
11:40:17.454420,0.002,False
11:40:17.471765,0.002,False
11:40:17.488284,0.002,False
11:40:17.504498,0.002,False
11:40:17.521111,0.002,False
11:40:17.549324,0.002,False
11:40:17.571087,0.002,False
11:40:17.587717,0.002,False
11:40:17.604707,0.002,False
11:40:17.621400,0.002,False
11:40:17.638152,0.002,False
11:40:17.654608,0.002,False
11:40:17.671621,0.002,False
11:40:17.688161,0.002,False
11:40:17.704727,0.002,False
11:40:17.721318,0.002,False
11:40:17.738007,0.002,False
11:40:17.754706,0.002,False
11:40:17.771183,0.002,False
11:40:17.787970,0.002,False
11:40:17.804777,0.002,False
11:40:17.821306,0.002,False
11:40:17.837989,0.002,False
11:40:17.854438,0.002,False
11:40:17.871364,0.002,False
11:40:17.888005,0.002,False
11:40:17.904753,0.002,False
11:40:17.921369,0.002,False
11:40:17.938038,0.002,False
11:40:17.954729,0.002,False
11:40:17.971377,0.002,False
11:40:17.988136,0.002,False
11:40:18.004768,0.002,False
11:40:18.021361,0.002,False
11:40:18.038029,0.002,False
11:40:18.054920,0.002,False
11:40:18.071455,0.002,False
11:40:18.088050,0.002,False
11:40:18.104785,0.002,False
11:40:18.121306,0.002,False
11:40:18.138189,0.002,False
11:40:18.154603,0.002,False
11:40:18.171396,0.002,False
11:40:18.188041,0.002,False
11:40:18.204734,0.002,False
11:40:18.221167,0.002,False
11:40:18.238046,0.002,False
11:40:18.266279,0.002,False
11:40:18.287845,0.002,False
11:40:18.304627,0.002,False
11:40:18.321333,0.002,False
11:40:18.338001,0.002,False
11:40:18.354704,0.002,False
11:40:18.371333,0.002,False
11:40:18.388001,0.002,False
11:40:18.404743,0.002,False
11:40:18.421515,0.002,False
11:40:18.438181,0.002,False
11:40:18.454825,0.002,False
11:40:18.471328,0.002,False
11:40:18.488232,0.002,False
11:40:18.504500,0.002,False
11:40:18.521391,0.002,False
11:40:18.537850,0.002,False
11:40:18.554733,0.002,False
11:40:18.571396,0.002,False
11:40:18.587995,0.002,False
11:40:18.604747,0.002,False
11:40:18.621356,0.002,False
11:40:18.637850,0.002,False
11:40:18.654491,0.002,False
11:40:18.671172,0.002,False
11:40:18.687847,0.002,False
11:40:18.704937,0.002,False
11:40:18.721361,0.002,False
11:40:18.737851,0.002,False
11:40:18.754773,0.002,False
11:40:18.771136,0.002,False
11:40:18.788053,0.002,False
11:40:18.804755,0.002,False
11:40:18.821346,0.002,False
11:40:18.837842,0.002,False
11:40:18.855329,0.002,False
11:40:18.871331,0.002,False
11:40:18.888007,0.002,False
11:40:18.904503,0.002,False
11:40:18.921316,0.002,False
11:40:18.937850,0.002,False
11:40:18.954607,0.002,False
11:40:18.971213,0.002,False
11:40:19.000225,0.002,False
11:40:19.015089,0.002,False
11:40:19.031665,0.002,False
11:40:19.048392,0.002,False
11:40:19.065184,0.002,False
11:40:19.081641,0.002,False
11:40:19.098399,0.002,False
11:40:19.115091,0.002,False
11:40:19.131698,0.002,False
11:40:19.148412,0.002,False
11:40:19.165277,0.002,False
11:40:19.181669,0.002,False
11:40:19.198459,0.002,False
11:40:19.215130,0.002,False
11:40:19.231665,0.002,False
11:40:19.248554,0.002,False
11:40:19.265202,0.002,False
11:40:19.281710,0.002,False
11:40:19.298502,0.002,False
11:40:19.315158,0.002,False
11:40:19.331709,0.002,False
11:40:19.348473,0.002,False
11:40:19.365123,0.002,False
11:40:19.381706,0.002,False
11:40:19.398493,0.002,False
11:40:19.415134,0.002,False
11:40:19.431689,0.002,False
11:40:19.448439,0.002,False
11:40:19.465128,0.002,False
11:40:19.481697,0.002,False
11:40:19.498481,0.002,False
11:40:19.515295,0.002,False
11:40:19.531703,0.002,False
11:40:19.548458,0.002,False
11:40:19.565265,0.002,False
11:40:19.581709,0.002,False
11:40:19.598502,0.002,False
11:40:19.615154,0.002,False
11:40:19.631707,0.002,False
11:40:19.648458,0.002,False
11:40:19.665212,0.002,False
11:40:19.681977,0.002,False
11:40:19.698492,0.002,False
11:40:19.721129,0.002,False
11:40:19.731722,0.002,False
11:40:19.748475,0.002,False
11:40:19.765129,0.002,False
11:40:19.781710,0.002,False
11:40:19.798522,0.002,False
11:40:19.815165,0.002,False
11:40:19.831715,0.002,False
11:40:19.848464,0.002,False
11:40:19.865148,0.002,False
11:40:19.881696,0.002,False
11:40:19.898507,0.002,False
11:40:19.921169,0.002,False
11:40:19.937970,0.002,False
11:40:19.954575,0.002,False
11:40:19.971842,0.002,False
11:40:19.988707,0.002,False
11:40:20.005105,0.002,False
11:40:20.021349,0.002,False
11:40:20.038480,0.002,False
11:40:20.055268,0.002,False
11:40:20.071343,0.002,False
11:40:20.088217,0.002,False
11:40:20.105150,0.002,False
11:40:20.121930,0.002,False
11:40:20.138336,0.002,False
11:40:20.155388,0.002,False
11:40:20.171683,0.002,False
11:40:20.188393,0.002,False
11:40:20.204839,0.002,False
11:40:20.221274,0.002,False
11:40:20.237946,0.002,False
11:40:20.254614,0.002,False
11:40:20.271729,0.002,False
11:40:20.287966,0.002,False
11:40:20.305115,0.002,False
11:40:20.321251,0.002,False
11:40:20.338449,0.002,False
11:40:20.354603,0.002,False
11:40:20.371238,0.002,False
11:40:20.387957,0.002,False
11:40:20.404940,0.002,False
11:40:20.421358,0.002,False
11:40:20.450193,0.002,False
11:40:20.471485,0.002,False
11:40:20.488446,0.002,False
11:40:20.505154,0.002,False
11:40:20.521512,0.002,False
11:40:20.537950,0.002,False
11:40:20.554579,0.002,False
11:40:20.571720,0.002,False
11:40:20.589088,0.002,False
11:40:20.605366,0.002,False
11:40:20.621684,0.002,False
11:40:20.638058,0.002,False
11:40:20.654968,0.002,False
11:40:20.671814,0.002,False
11:40:20.688252,0.002,False
11:40:20.705200,0.002,False
11:40:20.721690,0.002,False
11:40:20.737962,0.002,False
11:40:20.754625,0.002,False
11:40:20.771257,0.002,False
11:40:20.787972,0.002,False
11:40:20.804625,0.002,False
11:40:20.821282,0.002,False
11:40:20.838276,0.002,False
11:40:20.855521,0.002,False
11:40:20.871584,0.002,False
11:40:20.887991,0.002,False
11:40:20.905350,0.002,False
11:40:20.921271,0.002,False
11:40:20.938255,0.002,False
11:40:20.955533,0.002,False
11:40:20.983451,0.002,False
11:41:05.769712,0.000,False
11:41:05.786224,0.001,False
11:41:05.796203,0.001,False
11:41:05.805949,0.001,False
11:41:05.816061,0.001,False
11:41:05.826008,0.002,False
11:41:05.836144,0.002,False
11:41:05.845972,0.002,False
11:41:05.856066,0.002,False
11:41:05.870136,0.002,False
11:41:05.892195,0.002,False
11:41:05.916331,0.002,False
11:41:05.932177,0.002,False
11:41:05.952181,0.002,False
11:41:05.974317,0.002,False
11:41:05.993273,0.002,False
11:41:06.013343,0.002,False
11:41:06.032622,0.002,False
11:41:06.052766,0.002,False
11:41:06.072651,0.002,False
11:41:06.092746,0.002,False
11:41:06.112355,0.002,False
11:41:06.132154,0.002,False
11:41:06.152241,0.002,False
11:41:06.172472,0.002,False
11:41:06.192176,0.002,False
11:41:06.212314,0.002,False
11:41:06.232163,0.002,False
11:41:06.252262,0.002,False
11:41:06.272192,0.002,False
11:41:06.292150,0.002,False
11:41:06.312158,0.002,False
11:41:06.332119,0.002,False
11:41:06.352185,0.002,False
11:41:06.372382,0.002,False
11:41:06.392374,0.002,False
11:41:06.412361,0.002,False
11:41:06.432360,0.002,False
11:41:06.452179,0.002,False
11:41:06.472476,0.002,False
11:41:06.492130,0.002,False
11:41:06.512197,0.002,False
11:41:06.532155,0.002,False
11:41:49.029515,0.000,False
